movieId,title,all_tags
62,Mr. Holland's Opus (1995),"mentor, bands, teacher, music, inspirational, drama, feel-good, clv, stupid, cheesy, tearful, emotion, composer, moving, education, sappy"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"spoof, comedy, parody, goofy, crime"
64,Two if by Sea (1996),"comedy, romance, sarcasm"
65,Bio-Dome (1996),"stupidity, comedy, goofy, stupid"
66,Lawnmower Man 2: Beyond Cyberspace (1996),"action, crap, thriller, cyberpunk, sci-fi, horrible"
67,Two Bits (1995),"homeless, drama"
68,French Twist (Gazon maudit) (1995),"romance, bisexual, comedy, queer, lesbian, vhs, cheating, adultery"
69,Friday (1995),"friendship, stoner, comedy, weed, funny, ghetto"
70,From Dusk Till Dawn (1996),"tattoo, kids, mexico, frontier, tarantino, stylized, diablo, bouncer, bloody, action, campy, comedy, vampire, perverted, bikers, snakes, vampires, whip, violence, preacher, gore, intense, bd-video, clv, thriller, cdon, hostage, splatter, motorhome, strippers, horror, brothers, nudity, snake, own, funny, btaege, bar, bats"
71,Fair Game (1995),action
72,Kicking and Screaming (1995),"underrated, talky, boring, comedy, understated, wry, college, drama, dialogue, cinematography, coming-of-age, unemotional, literate, witty, criterion, wistful"
73,"Mis̩rables, Les (1995)","opera, drama, war, lawyer, jewish, love"
74,Bed of Roses (1996),"romance, romantic, drama, predictable"
75,Big Bully (1996),"bullying, comedy, drama, childhood, arnold"
76,Screamers (1995),"action, horror, scifi, futuristic, thriller, robots, post-apocalyptic, sci-fi"
77,Nico Icon (1995),"documentary, enigmatic, performer, music, musicians, biopic"
78,"Crossing Guard, The (1995)","action, vengeance, revenge, drama, thriller, redemption, guilt, crime"
79,"Juror, The (1996)","mafia, drama, thriller"
80,"White Balloon, The (Badkonake sefid) (1995)","money, soldier, children, girl, snake, drama, childhood, iran, tehran, goldfish, tailor, different"
81,Things to Do in Denver When You're Dead (1995),"colorado, romance, assassin, underrated, gangsters, friendship, revenge, drama, hit, detroit, stylish, denver, own, noirish, hitman, sacrifice, mobsters, crime"
82,Antonia's Line (Antonia) (1995),"women, netflix, comedy, intellectual, drama, mathematics, feminism, fantasy, lesbian, mathematician"
83,Once Upon a Time... When We Were Colored (1995),"romance, drama, biography, racism, segregation, mississippi"
84,Last Summer in the Hamptons (1995),"comedy, family, drama, original"
85,Angels and Insects (1995),"romance, adaptation, victorian, drama, darwinism, compelling, secrets"
86,White Squall (1996),"mentor, action, educational, sailing, clv, drama, history, adventure, storm, sailboat"
87,Dunston Checks In (1996),"comedy, children, kids"
88,Black Sheep (1996),"comedy, politics, funny"
89,Nick of Time (1995),"action, conspiracy, blackmail, time, thriller, suspenseful, synchronic, suspense, maybe, governor, hostage, kidnapping, elevator"
90,"Journey of August King, The (1995)","slavery, drama, original"
92,Mary Reilly (1996),"horror, drama, original, thriller"
93,Vampire in Brooklyn (1995),"romance, horror, comedy, clv, vampire, vampires"
94,Beautiful Girls (1996),"beautiful, romance, portman, violence, relationships, comedy, humorous, clv, drama, atmospheric, lolita, love, believable"
95,Broken Arrow (1996),"action, utah, watch, clv, thriller, want, adventure, military, r, foqam, scope"
96,In the Bleak Midwinter (1995),"comedy, drama, theater, witty, shakespeare"
97,"Hate (Haine, La) (1995)","ominous, gritty, r, angry, co-production, drama, biting, disturbing, racism, riot, realistic, criterion, bd-r, drugs, ghetto, confrontational, verlan, cynical, crime, paris, bleak, french"
98,Shopping (1994),"action, shopping, anti-hero, thriller"
99,Heidi Fleiss: Hollywood Madam (1995),"documentary, prostitution, marijuana, pornography"
100,City Hall (1996),"clv, drama, thriller, corruption, own, politics, political"
101,Bottle Rocket (1996),"romance, thieves, tv, quirky, to-rent, dvd-video, wistful, slow, friendship, heist, comedy, humorous, sweet, criterion, motel, rent, texas, adventure, talky, deadpan, theater, love, crime"
102,Mr. Wrong (1996),"comedy, funny, stupid, horrible"
103,Unforgettable (1996),"forgettable, thriller, sci-fi, mystery"
104,Happy Gilmore (1996),"golf, comedy, underdog, clv, sports, goofy, haha, hockey, foqam, hilarious"
105,"Bridges of Madison County, The (1995)","romance, heartwarming, lyrical, passionate, bd-r, warm, affair, drama, deliberate, sentimental, bittersweet, tearjerking, book, iowa, adultery, wistful"
106,Nobody Loves Me (Keiner liebt mich) (1994),"comedy, germany, drama, german"
107,Muppet Treasure Island (1996),"treasure, musical, children, franchise, comedy, muppets, pirates, puppets, adventure"
108,Catwalk (1996),"documentary, fashion, grindhouse"
109,Headless Body in Topless Bar (1995),"comedy, drama, thriller"
110,Braveheart (1995),"romance, patriotic, sweeping, bloodshed, forceful, history, dvd-video, pompous, action, courage, slow, gibson, heroism, long, tribal, inspiration, revenge, drama, war, earnest, british, hero, medieval, want, adult, factual, battles, period, guerra, dvd, divx, bravery, violent, england, visceral, acting, visual, britain, gore, bd-video, biography, historical, freedom, flashy, kilts, scotland, revolution, adventure, biopic, passionate, scottish, self-important, poignant, overrated, stirring, lavish, classic, inspirational, epic, evangelical, brutal, owned, breathtaking, story"
111,Taxi Driver (1976),"dark, insane, ohsoso, forceful, lengthy, mohawk, vigilante, insanity, prostitution, vigilantism, neo-noir, vigilatism, deniro, alienation, masterpiece, slow, drama, disturbing, lurid, betamax, paranoid, anomie, atmospheric, anti-hero, dvd, scorcese, visceral, clv, thriller, menacing, overrated, psychopath, classic, bibliothek, prostitutes, psychopaths, deconstructive, grim, psychology, loneliness, guns, assassination, crime"
112,Rumble in the Bronx (Hont faan kui) (1995),"action, obscenities, kung-fu, comedy, india, clv, adventure, funny, crime, dummy"
113,Before and After (1996),"lawyer, drama, mystery"
114,Margaret's Museum (1995),"canada, story, drama, mining"
115,"Happiness Is in the Field (Bonheur est dans le pr̩, Le) (1995)",comedy
116,Anne Frank Remembered (1995),"documentary, nazis, anti-semitism, pg, biography, holocaust, jews, germany, wwii"
117,"Young Poisoner's Handbook, The (1995)","murder, awesome, drama, disturbing, cool, crime"
118,If Lucy Fell (1996),"romance, relationships, comedy, clv, romantic"
119,"Steal Big, Steal Little (1995)","comedy, good, original, gangsters"
120,Race the Sun (1996),"racing, comedy, drama, adventure, cute"
121,"Boys of St. Vincent, The (1992)","pedophile, drama, disturbing, religion, catholicism, corruption, paedophilia, orphans, christianity"
122,Boomerang (1992),"dating, romance, comedy, clv, funny, hilarious"
123,Chungking Express (Chung Hing sam lam) (1994),"romance, jukebox, pineapple, melancholic, airport, reflective, time, cinematography, stylized, mystery, stewardess, hongkong, dreamlike, excellent, birthday, drama, cops, nocturnal, jogging, criterion, ironic, foggy, urbane, scenic, indians, script, sunglasses, amelie-esque, smuggling, lyrical, narrated, ticket, obsession, fanciful, love, loneliness, melancholy"
124,"Star Maker, The (Uomo delle stelle, L') (1995)",drama
125,Flirting With Disaster (1996),"comedy, adoption, hilarious"
126,"NeverEnding Story III, The (1994)","children, original, fantasy, adventure, horrible"
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",drama
128,Jupiter's Wife (1994),"dvd-video, documentary, homeless, drugs"
129,Pie in the Sky (1996),"comedy, romance, romantic"
130,Angela (1995),drama
131,Frankie Starlight (1995),"romance, drama, ireland"
132,Jade (1995),"flop, clv, sexual, thriller, erotic, sex"
133,Nueba Yol (1995),"comedy, drama, spanish"
134,Sonic Outlaws (1995),documentary
135,Down Periscope (1996),"comedy, submarine"
136,From the Journals of Jean Seberg (1995),"documentary, criterion, women, tragedy"
137,Man of the Year (1995),"documentary, gay"
138,"Neon Bible, The (1995)","books, drama"
139,Target (1995),"action, drama"
140,Up Close and Personal (1996),"romance, bibliothek, romantic, drama, journalism"
141,"Birdcage, The (1996)","remake, homosexuality, cliche, watch-fully, comedy, clv, queer, crossdressing, gay, madonna"
142,Shadows (Cienie) (1988),drama
143,Gospa (1995),drama
144,"Brothers McMullen, The (1995)","irish, relationships, comedy, reviewed, family"
145,Bad Boys (1995),"action, miami, comedy, drama, thriller, florida, drugs, funny, police, crime"
146,"Amazing Panda Adventure, The (1995)","children, kids, cute, adventure"
147,"Basketball Diaries, The (1995)","heroin, book, masturbation, intense, ending, drama, school, prostitutes, catholicism, addiction, drugs, prostitution, diary, escape, basketball"
148,"Awfully Big Adventure, An (1995)","loneliness, drama, original"
149,Amateur (1994),"cerebral, interesting, deadpan, amnesia, humorous, drama, whimsical, quirky, thriller, deliberate, literate, stylized, redemption, crime"
150,Apollo 13 (1995),"claustrophobic, science, history, boring, slow, stranded, engineering, drama, earnest, want, tense, formulaic, dvd, space, nostalgic, disaster, imax, dramatic, bd-video, matter-of-fact, clv, moon, thriller, historical, suspense, accuracy, adventure, catastrophe, interesting, astronauts, biographical, watch-again, owned, nasa"
151,Rob Roy (1995),"romance, sweeping, literate, dvd-video, action, tribal, watch, drama, war, tense, atmospheric, violent, hulu, scotland, passionate, earthy, western, rousing, rape"
152,"Addiction, The (1995)","horror, vampire, drama, philosophical, stylized, addiction, vampires"
153,Batman Forever (1995),"design, trite, superhero, vigilante, action, comedy, want, atmospheric, title, sequel, franchise, robin, clv, super-hero, adventure, destiny, nostalgia, batman, authenticity, watch-again, dc, story, crime"
154,Beauty of the Day (Belle de jour) (1967),"enigmatic, sexy, wry, prostitutes, bunuel, drama, satirical, sexual, ohsoso, bd-r, clv, stylized, criterion, witty, prostitution, obsession, etaegeshelf"
155,Beyond Rangoon (1995),"drama, war, history, adventure, politics, sacrifice"
156,Blue in the Face (1995),"plotless, comedy, clv, minimalist, drama, brooklyn"
157,Canadian Bacon (1995),"canada, sarcasm, comedy, conspiracy, war, satire, politics"
158,Casper (1995),"children, ghost, ghosts, clv, childhood, sentimental, nice, adventure, funny, seen, family"
159,Clockers (1995),"drama, drugs, mystery, dvd-video, crime"
160,Congo (1995),"action, jungle, clv, gorilla, gorillas, adventure, mystery, africa, nostalgia, sci-fi"
161,Crimson Tide (1995),"underwater, clv, drama, war, thriller, want, tense, own, clearplay, submarine, r, hollywood"
162,Crumb (1994),"quirky, artist, disturbing, irreverent, criterion, documentary, bd-r, wry, biography, deliberate, sexual, artistic, counterculture, cynical, netflixq, biographical, raunchy, obsession, qube"
163,Desperado (1995),"action, romance, violence, western, mexico, shootout, clv, stylish, thriller, btaege, sequel, crime"
164,Devil in a Blue Dress (1995),"moody, understated, thriller, stylized, atmospheric, suspense, mystery, r, nostalgic, crime, film-noir"
165,Die Hard: With a Vengeance (1995),"action, good, vengeance, heist, clv, thriller, want, bmf, own, predictable, reviewed, divx, btaege, sequel, terrorism, crime, violent"
166,"Doom Generation, The (1995)","campy, comedy, drama, phashion, surreal, crime, splatter, violent"
167,Feast of July (1995),"drama, wartime"
168,First Knight (1995),"action, romance, clv, drama, war, medieval, royalty"
169,Free Willy 2: The Adventure Home (1995),"children, drama, adventure, sequels, family"
170,Hackers (1995),"hacking, internet, cyberpunk, innacurrate, lame, cyber-intimidation, geek, rollerblading, action, boring, campy, dvd-ram, inaccurate, hackers, decent, thriller, adventure, computers, geeks, cheesy, hacker, crime"
171,Jeffrey (1995),"comedy, clv, drama, aids, gay"
172,Johnny Mnemonic (1995),"action, dystopia, memory, ice-t, unrealistic, clv, katsomattomat, futuristic, hackers, thriller, transhumanism, cyberpunk, cyborgs, dvd, future, technology, sci-fi"
173,Judge Dredd (1995),"dystopia, action, comics, stallone, one-liners, clv, futuristic, future, want, corruption, cyborgs, police, crime, sci-fi"
174,Jury Duty (1995),"tacos, comedy, clv, funny"
175,Kids (1995),"everything, misogynistic, teenagers, authentic, drama, controversial, aids, skateboarding, unflinching, teen, drugs, pornography, owned, indecent"
176,Living in Oblivion (1995),"indie, comedy, meta-indie, dreams, dwarf, behind-the-scenes, film-making"
177,Lord of Illusions (1995),"cult, horror, clv"
178,Love & Human Remains (1993),"relationships, comedy, drama, nihilism, loneliness, gay"
179,Mad Love (1995),"romance, drama, love"
180,Mallrats (1995),"romance, usa, materialism, comedy, ensemble, clearplay, own, teen, dvd, r, hilarious"
181,Mighty Morphin Power Rangers: The Movie (1995),"ninja, action, retarted, children, original, dvd-ram, nostalgic"
182,Moonlight and Valentino (1995),"romance, drama, clv, relationships"
183,Mute Witness (1994),"horror, moscow, comedy, thriller, suspenseful, tense, russia, mute"
184,Nadja (1994),"vampire, drama, original"
185,"Net, The (1995)","simplistic, action, computers, hacking, conspiracy, internet, hackers, thriller, stupid, trojan, cyber-intimidation, praetorians, unrealistic, malware, crime, inaccurate"
186,Nine Months (1995),"romance, comedy, arnold, cheesy, nice, funny, pregnancy, hilarious, meh, humor"
187,Party Girl (1995),"indie, underrated, comedy, coming-of-age, goofy, library, librarians"
188,"Prophecy, The (1995)","horror, angel, god, religion, fantasy, clearplay, devil, slashy, jonossa, mystery, r, christianity"
189,Reckless (1995),"comedy, fantasy, original, unreal"
190,Safe (1995),"food, underrated, enigmatic, environment, environmental, thriller, stark, criterion"
191,"Scarlet Letter, The (1995)","literature, trash, romance, drama"
192,"Show, The (1995)",documentary
193,Showgirls (1995),"strippers, boring, campy, nakedness, overacting, drama, sexual, raunchy, lurid, controversial, satire, dvd-video, cynical, dull"
194,Smoke (1995),"interesting, storytelling, comedy, drama, brooklyn, reviewed, newyork, good"
195,Something to Talk About (1995),"romance, women, comedy, drama, infidelity, adultery"
196,Species (1995),"alien, horror, clv, dvd-ram, pregnancy, aliens, sci-fi"
197,"Stars Fell on Henrietta, The (1995)","clv, drama, oil"
198,Strange Days (1995),"dark, futuristic, mindfuck, cyberpunk, mystery, dvd-video, police, future, provocative, sci-fi, action, characters, long, smoking, drama, corruption, thriller, stupid, junk, mystic, strange, memory, jonossa, gay, crime, rape"
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","romance, musical, dvd-r, stylized, saturated, bittersweet, pregnancy, wistful, breakthroughs, drama, sweet, dvd-ram, criterion, bd-r, vday, passionate, lyrical, lavish, music, marriage, french"
200,"Tie That Binds, The (1995)","adoption, original, thriller"
201,Three Wishes (1995),"clv, drama, dog, fantasy, sentimental"
202,Total Eclipse (1995),"romance, homosexuality, drama, writers, gay"
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","heartwarming, comedy, clv, queer, crossdressing, transsexuals, homophobia, fantastic"
204,Under Siege 2: Dark Territory (1995),"action, train, satellite"
205,Unstrung Heroes (1995),"comedy, coming-of-age, cancer, drama"
206,Unzipped (1995),"documentary, fashion"
207,"Walk in the Clouds, A (1995)","romance, romantic, drama, cinematography, cheesy"
208,Waterworld (1995),"futuristic, sci-fi, action, expensive, watch, tetris, apocalypse, survival, dystopia, clv, stupid, adventure, water, horrible, sf, steampunk, gyrocopter, smeat, post-apocalyptic, ocean, search"
209,White Man's Burden (1995),"drama, stereotypes"
210,Wild Bill (1995),"western, clv, gunfight"
211,"Browning Version, The (1994)","drama, teacher"
212,Bushwhacked (1995),"comedy, adventure, mystery, crime, hilarious"
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),"library, russian, drama"
214,Before the Rain (Pred dozhdot) (1994),"awful, melancholic, drama, war, gory, harrowing, criterion, non-linear, bloody"
215,Before Sunrise (1995),"romance, reflective, quirky, clearplay, literate, thought-provoking, bittersweet, dvd-video, r, wistful, vienna, realism, favorite, boring, understated, drama, austria, subscription, special, urbane, dialogue, philosophical, buy, philosophy, conversation, library, poignant, overrated, talky, cerebral, trains, bibliothek, intelligent, romantic, minimalist, loneliness, witty"
216,Billy Madison (1995),"teacher, comedy, clv, school, tv, stupid, stupidity, funny, theater, goofy, vhs"
217,"Babysitter, The (1995)","drama, thriller, fantasy, pornography, obsession"
218,Boys on the Side (1995),"women, friendship, comedy, clv, drama"
219,"Cure, The (1995)","hope, aids, drama, friendship"
220,Castle Freak (1995),"creepy, horror, splatter"
222,Circle of Friends (1995),"irish, romance, friendship, clv, drama, ireland, etaege"
223,Clerks (1994),"quirky, hilarity, literate, workplace, comedy, irreverent, hillarious, rent, wry, clv, matter-of-fact, dialogue, slackers, philosophical, surreal, indecent, juvenile, cynical, talky, depressing, minimalist, own, theater, funny, witty, get, hilarious"
224,Don Juan DeMarco (1995),"romance, comedy, clv, romantic, drama, passion, madness, fantasy, psychology, insanity"
225,Disclosure (1994),"conspiracy, clv, drama, sexual, thriller, etaege"
226,Dream Man (1995),thriller
227,Drop Zone (1994),"action, clv, thriller"
228,Destiny Turns on the Radio (1995),"comedy, destiny, dialogue"
229,Death and the Maiden (1994),"psychological, revenge, drama, thriller, guilt"
230,Dolores Claiborne (1995),"book, incest, clv, drama, thriller, secrets, housekeeper, etaege"
231,Dumb & Dumber (Dumb and Dumber) (1994),"romance, silly, tv, quirky, stupidity, dumb, comedy, irreverent, infantile, clv, gross-out, stupid, goofy, adventure, vhs, slapstick, raunchy, own, theater, get, madcap, hilarious"
232,Eat Drink Man Woman (Yin shi nan nu) (1994),"romance, dvd-video, siblings, workplace, comedy, aging, drama, karaoke, letters, tasteful, china, cooking, chefs, warm, remade, christians, food, photography, restaurant, relationships, teacher, minimalist, school, volleyball, marriage, buddhism, christening"
233,Exotica (1994),"romance, death, canada, strippers, toronto, melancholic, uncompromising, dark, drama, widower, mystery, dvd-video, gay, obsession, oop, smuggling"
234,Exit to Eden (1994),"comedy, bdsm, erotic"
235,Ed Wood (1994),"quirky, etaege, eccentricity, underappreciated, comedy, drama, divx, b-movie, dvd, affectionate, youtube, charming, clv, biography, gentle, biopic, poignant, elegiac, owned, witty"
236,French Kiss (1995),"action, romance, france, comedy, winery, romantic, clv, maybe, love, marriage"
237,Forget Paris (1995),"infertility, romance, boring, france, comedy, romantic, paris, sports, basketball"
238,Far From Home: The Adventures of Yellow Dog (1995),"dogs, children, adventure, dog"
239,"Goofy Movie, A (1995)","romance, children, disney, comedy, katottava, animation, goofy, cartoon"
240,Hideaway (1995),thriller
241,Fluke (1995),"dogs, children, reincarnation, drama, dog, animals"
242,Farinelli: il castrato (1994),"musical, sad, opera, vocalists, drama, mozart, castration, backstage"
243,Gordy (1995),"children, comedy, pigs, fantasy, family"
244,Gumby: The Movie (1995),"robot, children, original, animation, vhs"
245,"Glass Shield, The (1994)","drama, corruption, racism, police, crime"
246,Hoop Dreams (1994),"documentary, hulu, long, nba, clv, poverty, school, e, sports, chicago, criterion, basketball"
247,Heavenly Creatures (1994),"romance, stylized, queer, love, dvd-video, wistful, bizarre, boring, friendship, revenge, drama, disturbing, lesbian, dvd, murder, visceral, homo-erotic, australia, lgbt, surreal, passionate, scope, crazy, poignant, surrealism, redemption, obsession, crime"
248,Houseguest (1994),"chase, comedy, sinbad, bad, family"
249,Immortal Beloved (1994),"romance, biographical, clv, drama, biography, historical, mozart, deafness, r, beethoven"
250,Heavyweights (Heavy Weights) (1995),"children, kids, comedy, nostalgic, camp"
251,"Hunted, The (1995)","ninja, action, clv, horror"
252,I.Q. (1994),"romance, einstein, italian, bibliothek, comedy, clv, romantic"
253,Interview with the Vampire: The Vampire Chronicles (1994),"marinavista, costumes, terror, spooky, history, dracula, usa, vampire, drama, gothic, want, fantasy, literature, atmospheric, immortality, historic, vampires, clv, journalism, existentialism, interviews, brilliant, horror, debased, pretentious, paris, book"
254,Jefferson in Paris (1995),"slavery, drama, revolution"
255,"Jerky Boys, The (1995)","comedy, funny"
256,Junior (1994),"bizarre, easygoing, experiment, comedy, silly, clv, earnest, arnold, light, funny, seen, pregnancy, bright, horrible, sci-fi"
257,Just Cause (1995),"court, clv, thriller, lawyer, mystery, lawyers, police"
258,"Kid in King Arthur's Court, A (1995)","romance, children, kids, comedy, clv, fantasy, adventure"
259,Kiss of Death (1995),"original, clv, drama, thriller, crime"
