movie_id,title,all_tags
66,Lawnmower Man 2: Beyond Cyberspace (1996),"cyberpunk, crap, horrible, thriller, action, sci-fi"
67,Two Bits (1995),"homeless, drama"
68,French Twist (Gazon maudit) (1995),"comedy, bisexual, queer, vhs, cheating, romance, lesbian, adultery"
69,Friday (1995),"comedy, weed, ghetto, friendship, funny, stoner"
70,From Dusk Till Dawn (1996),"perverted, intense, whip, snake, preacher, vampires, bats, stylized, own, strippers, hostage, campy, kids, frontier, mexico, motorhome, tarantino, cdon, nudity, btaege, clv, thriller, bar, bikers, diablo, vampire, comedy, splatter, snakes, horror, bouncer, gore, bloody, violence, brothers, bd-video, tattoo, action, funny"
71,Fair Game (1995),action
72,Kicking and Screaming (1995),"comedy, drama, witty, wry, coming-of-age, underrated, understated, boring, talky, literate, college, cinematography, dialogue, wistful, unemotional, criterion"
73,"Mis̩rables, Les (1995)","opera, drama, jewish, lawyer, war, love"
74,Bed of Roses (1996),"romance, drama, romantic, predictable"
75,Big Bully (1996),"bullying, comedy, drama, childhood, arnold"
76,Screamers (1995),"horror, thriller, post-apocalyptic, futuristic, action, sci-fi, scifi, robots"
77,Nico Icon (1995),"music, documentary, enigmatic, biopic, performer, musicians"
78,"Crossing Guard, The (1995)","crime, drama, guilt, thriller, vengeance, revenge, action, redemption"
79,"Juror, The (1996)","mafia, thriller, drama"
80,"White Balloon, The (Badkonake sefid) (1995)","goldfish, children, soldier, drama, girl, snake, different, money, tehran, tailor, iran, childhood"
81,Things to Do in Denver When You're Dead (1995),"crime, drama, hit, hitman, mobsters, sacrifice, denver, underrated, own, romance, stylish, friendship, revenge, colorado, gangsters, noirish, detroit, assassin"
82,Antonia's Line (Antonia) (1995),"netflix, women, comedy, intellectual, drama, feminism, mathematics, lesbian, mathematician, fantasy"
83,Once Upon a Time... When We Were Colored (1995),"drama, segregation, biography, mississippi, racism, romance"
84,Last Summer in the Hamptons (1995),"original, comedy, family, drama"
85,Angels and Insects (1995),"darwinism, drama, secrets, victorian, compelling, romance, adaptation"
86,White Squall (1996),"drama, storm, history, clv, adventure, educational, sailboat, sailing, action, mentor"
87,Dunston Checks In (1996),"comedy, kids, children"
88,Black Sheep (1996),"politics, comedy, funny"
89,Nick of Time (1995),"suspenseful, action, governor, time, blackmail, maybe, thriller, synchronic, hostage, conspiracy, suspense, elevator, kidnapping"
90,"Journey of August King, The (1995)","original, drama, slavery"
92,Mary Reilly (1996),"original, thriller, drama, horror"
93,Vampire in Brooklyn (1995),"vampire, comedy, horror, clv, romance, vampires"
94,Beautiful Girls (1996),"humorous, comedy, drama, atmospheric, violence, lolita, clv, romance, beautiful, believable, love, relationships, portman"
95,Broken Arrow (1996),"utah, military, scope, r, watch, clv, adventure, thriller, want, foqam, action"
96,In the Bleak Midwinter (1995),"comedy, drama, witty, theater, shakespeare"
97,"Hate (Haine, La) (1995)","gritty, confrontational, racism, riot, drugs, criterion, crime, drama, cynical, bleak, paris, r, bd-r, realistic, angry, co-production, ghetto, verlan, biting, ominous, french, disturbing"
98,Shopping (1994),"action, thriller, anti-hero, shopping"
99,Heidi Fleiss: Hollywood Madam (1995),"pornography, prostitution, marijuana, documentary"
100,City Hall (1996),"drama, political, politics, clv, own, thriller, corruption"
101,Bottle Rocket (1996),"deadpan, to-rent, heist, sweet, criterion, crime, dvd-video, adventure, quirky, humorous, rent, slow, motel, texas, tv, love, wistful, comedy, thieves, theater, romance, talky, friendship"
102,Mr. Wrong (1996),"stupid, horrible, comedy, funny"
103,Unforgettable (1996),"forgettable, mystery, sci-fi, thriller"
104,Happy Gilmore (1996),"comedy, sports, haha, hockey, golf, clv, goofy, hilarious, foqam, underdog"
105,"Bridges of Madison County, The (1995)","wistful, heartwarming, drama, tearjerking, sentimental, passionate, bd-r, deliberate, romance, lyrical, iowa, book, affair, adultery, bittersweet, warm"
106,Nobody Loves Me (Keiner liebt mich) (1994),"germany, comedy, german, drama"
107,Muppet Treasure Island (1996),"pirates, children, muppets, comedy, adventure, treasure, musical, franchise, puppets"
108,Catwalk (1996),"grindhouse, fashion, documentary"
109,Headless Body in Topless Bar (1995),"thriller, comedy, drama"
110,Braveheart (1995),"scottish, historical, british, sweeping, guerra, courage, classic, factual, bloodshed, revolution, gibson, pompous, forceful, violent, england, stirring, acting, drama, tribal, inspiration, dvd-video, adventure, medieval, britain, overrated, brutal, dvd, epic, earnest, visceral, flashy, heroism, patriotic, owned, story, slow, visual, kilts, scotland, history, hero, revenge, want, poignant, biopic, breathtaking, period, long, evangelical, lavish, divx, bravery, biography, adult, gore, passionate, romance, bd-video, war, self-important, freedom, action, inspirational, battles"
111,Taxi Driver (1976),"psychopaths, vigilante, vigilantism, psychopath, atmospheric, lurid, classic, betamax, grim, prostitutes, insane, mohawk, dark, forceful, vigilatism, ohsoso, bibliothek, deniro, crime, drama, guns, deconstructive, overrated, dvd, prostitution, psychology, visceral, assassination, slow, insanity, menacing, clv, scorcese, thriller, lengthy, neo-noir, anti-hero, masterpiece, anomie, alienation, paranoid, loneliness, disturbing"
112,Rumble in the Bronx (Hont faan kui) (1995),"dummy, comedy, crime, kung-fu, india, clv, adventure, action, obscenities, funny"
113,Before and After (1996),"mystery, lawyer, drama"
114,Margaret's Museum (1995),"mining, canada, drama, story"
115,"Happiness Is in the Field (Bonheur est dans le pr̩, Le) (1995)",comedy
116,Anne Frank Remembered (1995),"documentary, holocaust, biography, anti-semitism, wwii, jews, nazis, germany, pg"
117,"Young Poisoner's Handbook, The (1995)","murder, crime, drama, cool, disturbing, awesome"
118,If Lucy Fell (1996),"comedy, clv, romance, romantic, relationships"
119,"Steal Big, Steal Little (1995)","gangsters, original, comedy, good"
120,Race the Sun (1996),"comedy, drama, racing, adventure, cute"
121,"Boys of St. Vincent, The (1992)","orphans, paedophilia, drama, pedophile, catholicism, corruption, disturbing, religion, christianity"
122,Boomerang (1992),"comedy, clv, romance, dating, hilarious, funny"
123,Chungking Express (Chung Hing sam lam) (1994),"reflective, sunglasses, stewardess, pineapple, cops, scenic, smuggling, script, criterion, jukebox, ticket, hongkong, drama, narrated, foggy, stylized, melancholy, mystery, airport, obsession, indians, fanciful, lyrical, cinematography, melancholic, excellent, love, birthday, urbane, amelie-esque, dreamlike, nocturnal, none, time, loneliness, romance, ironic, jogging"
124,"Star Maker, The (Uomo delle stelle, L') (1995)",drama
125,Flirting With Disaster (1996),"comedy, adoption, hilarious"
126,"NeverEnding Story III, The (1994)","children, adventure, horrible, original, fantasy"
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",drama
128,Jupiter's Wife (1994),"drugs, homeless, documentary, dvd-video"
129,Pie in the Sky (1996),"romance, comedy, romantic"
130,Angela (1995),drama
131,Frankie Starlight (1995),"romance, ireland, drama"
132,Jade (1995),"sex, flop, erotic, clv, thriller, sexual"
133,Nueba Yol (1995),"spanish, comedy, drama"
134,Sonic Outlaws (1995),documentary
135,Down Periscope (1996),"comedy, submarine"
136,From the Journals of Jean Seberg (1995),"tragedy, women, criterion, documentary"
137,Man of the Year (1995),"gay, documentary"
138,"Neon Bible, The (1995)","books, drama"
139,Target (1995),"action, drama"
140,Up Close and Personal (1996),"journalism, drama, romance, romantic, bibliothek"
141,"Birdcage, The (1996)","comedy, crossdressing, homosexuality, cliche, queer, clv, watch-fully, remake, madonna, gay"
142,Shadows (Cienie) (1988),drama
143,Gospa (1995),drama
144,"Brothers McMullen, The (1995)","comedy, family, reviewed, irish, relationships"
145,Bad Boys (1995),"comedy, crime, drama, police, florida, thriller, miami, drugs, action, funny"
146,"Amazing Panda Adventure, The (1995)","adventure, cute, kids, children"
147,"Basketball Diaries, The (1995)","basketball, school, drama, intense, catholicism, diary, masturbation, heroin, escape, prostitutes, drugs, ending, prostitution, addiction, book"
148,"Awfully Big Adventure, An (1995)","loneliness, original, drama"
149,Amateur (1994),"quirky, humorous, deadpan, crime, drama, cerebral, interesting, stylized, deliberate, thriller, literate, amnesia, redemption, whimsical"
150,Apollo 13 (1995),"historical, catastrophe, moon, nostalgic, biographical, drama, engineering, adventure, dramatic, formulaic, dvd, suspense, tense, earnest, astronauts, interesting, claustrophobic, science, owned, slow, history, clv, nasa, boring, thriller, want, watch-again, disaster, stranded, imax, bd-video, accuracy, space, matter-of-fact"
151,Rob Roy (1995),"sweeping, atmospheric, literate, violent, drama, tribal, rousing, watch, dvd-video, tense, western, scotland, rape, passionate, romance, war, hulu, action, earthy"
152,"Addiction, The (1995)","vampire, drama, horror, stylized, philosophical, vampires, addiction"
153,Batman Forever (1995),"vigilante, dc, atmospheric, design, franchise, crime, trite, authenticity, super-hero, adventure, batman, story, nostalgia, clv, want, watch-again, title, robin, comedy, destiny, superhero, action, sequel"
154,Beauty of the Day (Belle de jour) (1967),"bunuel, drama, sexy, enigmatic, witty, wry, obsession, bd-r, stylized, clv, prostitutes, sexual, satirical, prostitution, criterion, ohsoso, etaegeshelf"
155,Beyond Rangoon (1995),"drama, politics, sacrifice, history, adventure, war"
156,Blue in the Face (1995),"comedy, drama, plotless, minimalist, brooklyn, clv"
157,Canadian Bacon (1995),"sarcasm, canada, comedy, satire, politics, war, conspiracy"
158,Casper (1995),"children, family, sentimental, ghost, ghosts, clv, adventure, seen, childhood, nice, funny"
159,Clockers (1995),"mystery, crime, drama, dvd-video, drugs"
160,Congo (1995),"mystery, gorillas, nostalgia, adventure, clv, gorilla, jungle, africa, action, sci-fi"
161,Crimson Tide (1995),"underwater, submarine, drama, clearplay, hollywood, r, clv, own, thriller, war, want, tense"
162,Crumb (1994),"sexual, raunchy, criterion, biographical, documentary, qube, artist, cynical, counterculture, quirky, obsession, bd-r, deliberate, artistic, netflixq, biography, wry, irreverent, disturbing"
163,Desperado (1995),"western, mexico, crime, violence, btaege, clv, romance, shootout, thriller, stylish, action, sequel"
164,Devil in a Blue Dress (1995),"film-noir, mystery, crime, moody, atmospheric, r, understated, stylized, thriller, nostalgic, suspense"
165,Die Hard: With a Vengeance (1995),"crime, bmf, terrorism, heist, sequel, btaege, own, clv, reviewed, thriller, vengeance, good, predictable, want, action, violent, divx"
166,"Doom Generation, The (1995)","comedy, splatter, crime, drama, phashion, surreal, campy, violent"
167,Feast of July (1995),"wartime, drama"
168,First Knight (1995),"royalty, drama, clv, romance, medieval, war, action"
169,Free Willy 2: The Adventure Home (1995),"children, family, drama, sequels, adventure"
170,Hackers (1995),"cyberpunk, geeks, hacker, hacking, internet, crime, rollerblading, hackers, adventure, dvd-ram, geek, campy, innacurrate, boring, thriller, inaccurate, computers, lame, decent, cyber-intimidation, action, cheesy"
171,Jeffrey (1995),"comedy, drama, aids, clv, gay"
172,Johnny Mnemonic (1995),"transhumanism, future, memory, ice-t, unrealistic, cyberpunk, hackers, dystopia, clv, thriller, katsomattomat, cyborgs, futuristic, dvd, action, sci-fi, technology"
173,Judge Dredd (1995),"future, police, crime, dystopia, clv, cyborgs, corruption, futuristic, stallone, want, comics, action, sci-fi, one-liners"
174,Jury Duty (1995),"comedy, funny, tacos, clv"
175,Kids (1995),"teen, owned, drama, misogynistic, teenagers, authentic, everything, aids, skateboarding, indecent, controversial, drugs, pornography, unflinching"
176,Living in Oblivion (1995),"comedy, indie, meta-indie, film-making, behind-the-scenes, dreams, dwarf"
177,Lord of Illusions (1995),"cult, clv, horror"
178,Love & Human Remains (1993),"comedy, drama, nihilism, loneliness, gay, relationships"
179,Mad Love (1995),"love, romance, drama"
180,Mallrats (1995),"teen, comedy, clearplay, ensemble, r, own, romance, materialism, hilarious, dvd, usa"
181,Mighty Morphin Power Rangers: The Movie (1995),"ninja, children, dvd-ram, original, nostalgic, action, retarted"
182,Moonlight and Valentino (1995),"romance, drama, relationships, clv"
183,Mute Witness (1994),"suspenseful, moscow, comedy, russia, horror, mute, thriller, tense"
184,Nadja (1994),"vampire, original, drama"
185,"Net, The (1995)","unrealistic, computers, crime, stupid, trojan, praetorians, hackers, malware, conspiracy, thriller, cyber-intimidation, simplistic, action, hacking, inaccurate, internet"
186,Nine Months (1995),"comedy, humor, funny, romance, meh, pregnancy, hilarious, nice, arnold, cheesy"
187,Party Girl (1995),"librarians, comedy, indie, underrated, coming-of-age, goofy, library"
188,"Prophecy, The (1995)","god, mystery, devil, clearplay, horror, jonossa, angel, r, fantasy, religion, christianity, slashy"
189,Reckless (1995),"original, comedy, unreal, fantasy"
190,Safe (1995),"environmental, food, stark, enigmatic, underrated, thriller, criterion, environment"
191,"Scarlet Letter, The (1995)","romance, trash, drama, literature"
192,"Show, The (1995)",documentary
193,Showgirls (1995),"drama, campy, satire, lurid, dvd-video, boring, raunchy, overacting, cynical, sexual, controversial, strippers, dull, nakedness"
194,Smoke (1995),"comedy, drama, brooklyn, reviewed, storytelling, good, newyork, interesting"
195,Something to Talk About (1995),"women, comedy, drama, infidelity, romance, adultery"
196,Species (1995),"horror, alien, clv, dvd-ram, aliens, pregnancy, sci-fi"
197,"Stars Fell on Henrietta, The (1995)","oil, drama, clv"
198,Strange Days (1995),"cyberpunk, characters, smoking, futuristic, dark, future, crime, drama, police, strange, dvd-video, gay, corruption, provocative, mindfuck, mystic, mystery, memory, stupid, thriller, long, rape, jonossa, action, sci-fi, junk"
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","dvd-r, vday, sweet, criterion, breakthroughs, drama, stylized, dvd-ram, pregnancy, saturated, bd-r, lyrical, wistful, musical, bittersweet, lavish, music, passionate, romance, french, marriage"
200,"Tie That Binds, The (1995)","original, thriller, adoption"
201,Three Wishes (1995),"drama, sentimental, clv, dog, fantasy"
202,Total Eclipse (1995),"drama, homosexuality, writers, romance, gay"
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","comedy, heartwarming, crossdressing, queer, clv, homophobia, transsexuals, fantastic"
204,Under Siege 2: Dark Territory (1995),"action, train, satellite"
205,Unstrung Heroes (1995),"coming-of-age, comedy, cancer, drama"
206,Unzipped (1995),"fashion, documentary"
207,"Walk in the Clouds, A (1995)","drama, romance, cinematography, romantic, cheesy"
208,Waterworld (1995),"expensive, apocalypse, futuristic, sf, watch, dystopia, adventure, horrible, post-apocalyptic, smeat, survival, stupid, water, ocean, clv, search, tetris, steampunk, gyrocopter, action, sci-fi"
209,White Man's Burden (1995),"stereotypes, drama"
210,Wild Bill (1995),"western, gunfight, clv"
211,"Browning Version, The (1994)","drama, teacher"
212,Bushwhacked (1995),"mystery, comedy, crime, adventure, hilarious"
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),"russian, drama, library"
214,Before the Rain (Pred dozhdot) (1994),"drama, harrowing, bloody, awful, gory, melancholic, war, criterion, non-linear"
215,Before Sunrise (1995),"vienna, reflective, philosophy, literate, trains, romantic, philosophical, bibliothek, drama, clearplay, witty, dvd-video, overrated, dialogue, intelligent, quirky, buy, cerebral, library, minimalist, austria, understated, r, boring, realism, favorite, poignant, thought-provoking, special, wistful, conversation, bittersweet, urbane, romance, loneliness, talky, subscription"
216,Billy Madison (1995),"comedy, stupid, theater, vhs, tv, clv, stupidity, goofy, teacher, school, funny"
217,"Babysitter, The (1995)","drama, obsession, thriller, pornography, fantasy"
218,Boys on the Side (1995),"women, comedy, drama, clv, friendship"
219,"Cure, The (1995)","friendship, hope, drama, aids"
220,Castle Freak (1995),"creepy, splatter, horror"
222,Circle of Friends (1995),"drama, etaege, ireland, clv, romance, irish, friendship"
223,Clerks (1994),"literate, indecent, philosophical, hillarious, witty, own, cynical, surreal, dialogue, hilarious, quirky, rent, hilarity, minimalist, clv, funny, comedy, slackers, theater, workplace, wry, talky, get, irreverent, depressing, juvenile, matter-of-fact"
224,Don Juan DeMarco (1995),"comedy, drama, insanity, madness, clv, romance, passion, romantic, fantasy, psychology"
225,Disclosure (1994),"etaege, drama, clv, thriller, sexual, conspiracy"
226,Dream Man (1995),thriller
227,Drop Zone (1994),"action, thriller, clv"
228,Destiny Turns on the Radio (1995),"destiny, comedy, dialogue"
229,Death and the Maiden (1994),"drama, guilt, thriller, revenge, psychological"
230,Dolores Claiborne (1995),"incest, housekeeper, drama, etaege, secrets, clv, thriller, book"
231,Dumb & Dumber (Dumb and Dumber) (1994),"raunchy, infantile, madcap, stupidity, adventure, own, hilarious, quirky, stupid, vhs, tv, clv, comedy, theater, dumb, romance, goofy, silly, slapstick, irreverent, get, gross-out"
232,Eat Drink Man Woman (Yin shi nan nu) (1994),"tasteful, restaurant, volleyball, remade, photography, christening, school, warm, drama, food, dvd-video, teacher, karaoke, siblings, christians, minimalist, buddhism, aging, china, cooking, chefs, comedy, letters, workplace, romance, marriage, relationships"
233,Exotica (1994),"uncompromising, toronto, mystery, canada, drama, obsession, dvd-video, romance, death, gay, smuggling, melancholic, oop, strippers, dark, widower"
234,Exit to Eden (1994),"bdsm, comedy, erotic"
235,Ed Wood (1994),"b-movie, elegiac, gentle, drama, etaege, witty, dvd, quirky, owned, underappreciated, clv, poignant, biopic, divx, comedy, eccentricity, biography, affectionate, youtube, charming"
236,French Kiss (1995),"winery, comedy, clv, maybe, romance, romantic, france, marriage, love, action"
237,Forget Paris (1995),"comedy, sports, paris, romance, boring, romantic, france, infertility, basketball"
238,Far From Home: The Adventures of Yellow Dog (1995),"adventure, children, dog, dogs"
239,"Goofy Movie, A (1995)","comedy, children, disney, romance, cartoon, animation, goofy, katottava"
240,Hideaway (1995),thriller
241,Fluke (1995),"children, drama, animals, dogs, dog, reincarnation"
242,Farinelli: il castrato (1994),"opera, backstage, drama, sad, castration, mozart, vocalists, musical"
243,Gordy (1995),"comedy, children, family, pigs, fantasy"
244,Gumby: The Movie (1995),"children, robot, vhs, animation, original"
245,"Glass Shield, The (1994)","crime, drama, police, racism, corruption"
246,Hoop Dreams (1994),"chicago, e, documentary, sports, poverty, nba, clv, hulu, long, school, criterion, basketball"
247,Heavenly Creatures (1994),"murder, bizarre, scope, homo-erotic, lesbian, crime, drama, lgbt, stylized, dvd-video, surreal, dvd, visceral, surrealism, obsession, queer, boring, revenge, poignant, love, wistful, australia, crazy, passionate, romance, friendship, disturbing, redemption"
248,Houseguest (1994),"chase, comedy, family, sinbad, bad"
249,Immortal Beloved (1994),"historical, drama, biography, r, clv, beethoven, romance, mozart, deafness, biographical"
250,Heavyweights (Heavy Weights) (1995),"kids, comedy, children, camp, nostalgic"
251,"Hunted, The (1995)","action, ninja, clv, horror"
252,I.Q. (1994),"einstein, comedy, clv, romance, italian, romantic, bibliothek"
253,Interview with the Vampire: The Vampire Chronicles (1994),"journalism, gothic, atmospheric, costumes, terror, vampires, usa, historic, drama, spooky, literature, brilliant, existentialism, dracula, paris, history, clv, want, immortality, fantasy, book, vampire, interviews, horror, marinavista, debased, pretentious"
254,Jefferson in Paris (1995),"revolution, drama, slavery"
255,"Jerky Boys, The (1995)","comedy, funny"
256,Junior (1994),"comedy, experiment, light, bizarre, bright, easygoing, clv, funny, horrible, silly, seen, pregnancy, sci-fi, arnold, earnest"
257,Just Cause (1995),"mystery, police, lawyers, clv, thriller, lawyer, court"
258,"Kid in King Arthur's Court, A (1995)","kids, children, comedy, clv, adventure, romance, fantasy"
259,Kiss of Death (1995),"crime, drama, clv, original, thriller"
